uniq,kingdom,phylum
uniq10410,Eukaryota,Eukaryota
uniq10768,Eukaryota,Eukaryota
uniq24694,Eukaryota,Mollusca
uniq7875,Eukaryota,Eukaryota
uniq7880,Eukaryota,Chaetognatha
uniq7876,Eukaryota,Eukaryota
uniq7883,Eukaryota,Eukaryota
uniq7898,Eukaryota,Cnidaria
uniq7909,Eukaryota,Arthropoda
uniq7896,Eukaryota,Eukaryota
uniq7916,Eukaryota,Eukaryota
uniq7922,Eukaryota,Eukaryota
uniq7931,Eukaryota,Eukaryota
uniq7927,Eukaryota,Eukaryota
uniq7929,Eukaryota,Eukaryota
uniq7939,Eukaryota,Eukaryota
uniq7943,Eukaryota,Eukaryota
uniq7960,Eukaryota,Mollusca
uniq7964,Eukaryota,Eukaryota
uniq7954,Eukaryota,Arthropoda
uniq7979,Eukaryota,Eukaryota
uniq8010,Eukaryota,Eukaryota
uniq8001,Eukaryota,Eukaryota
uniq8030,Eukaryota,Eukaryota
uniq8058,Eukaryota,Eukaryota
uniq8054,Eukaryota,Mollusca
uniq8080,Eukaryota,Mollusca
uniq8091,Eukaryota,Eukaryota
uniq8105,Eukaryota,Chaetognatha
uniq8113,Eukaryota,Eukaryota
uniq8106,Eukaryota,Chaetognatha
uniq8110,Eukaryota,Eukaryota
uniq8118,Eukaryota,Eukaryota
uniq8129,Eukaryota,Eukaryota
uniq9310,Eukaryota,Bacillariophyta
uniq9691,Eukaryota,Eukaryota
uniq10377,Eukaryota,Eukaryota
uniq9367,Eukaryota,Eukaryota
uniq10954,Eukaryota,Chordata
uniq10108,Eukaryota,Eukaryota
uniq11251,Eukaryota,Eukaryota
uniq11378,Eukaryota,Eukaryota
uniq11589,Eukaryota,Mollusca
uniq12915,Eukaryota,Eukaryota
uniq13654,Eukaryota,Eukaryota
uniq13185,Eukaryota,Eukaryota
uniq13660,Eukaryota,Eukaryota
uniq14899,Eukaryota,Arthropoda
uniq15134,Eukaryota,Mollusca
uniq17888,Eukaryota,Chaetognatha
uniq17476,Eukaryota,Eukaryota
uniq8143,Eukaryota,Mollusca
uniq20534,Eukaryota,Eukaryota
uniq8141,Eukaryota,Eukaryota
uniq8158,Eukaryota,Chordata
uniq8164,Eukaryota,Eukaryota
uniq8172,Eukaryota,Eukaryota
uniq8194,Eukaryota,Eukaryota
uniq8191,Eukaryota,Eukaryota
uniq8168,Eukaryota,Eukaryota
uniq8199,Eukaryota,Chaetognatha
uniq8201,Eukaryota,Eukaryota
uniq8206,Eukaryota,Chordata
uniq8227,Eukaryota,Eukaryota
uniq8240,Eukaryota,Arthropoda
uniq8217,Eukaryota,Eukaryota
uniq8248,Eukaryota,Eukaryota
uniq8256,Eukaryota,Cnidaria
uniq8258,Eukaryota,Mollusca
uniq8253,Eukaryota,Arthropoda
uniq8262,Eukaryota,Eukaryota
uniq8261,Eukaryota,Eukaryota
uniq8281,Eukaryota,Annelida
uniq8270,Eukaryota,Eukaryota
uniq8283,Eukaryota,Eukaryota
uniq8288,Eukaryota,Sipuncula
uniq8272,Eukaryota,Cnidaria
uniq8291,Eukaryota,Eukaryota
uniq8303,Eukaryota,Eukaryota
uniq8293,Eukaryota,Eukaryota
uniq8309,Eukaryota,Eukaryota
uniq8311,Eukaryota,Mollusca
uniq8313,Eukaryota,Eukaryota
uniq8312,Eukaryota,Eukaryota
uniq8332,Eukaryota,Eukaryota
uniq8349,Eukaryota,Eukaryota
uniq8361,Eukaryota,Eukaryota
uniq8368,Eukaryota,Eukaryota
uniq8359,Eukaryota,Eukaryota
uniq8352,Eukaryota,Mollusca
uniq8377,Eukaryota,Eukaryota
uniq8412,Eukaryota,Eukaryota
uniq8418,Eukaryota,Eukaryota
uniq9606,Eukaryota,Eukaryota
uniq9769,Eukaryota,Eukaryota
uniq9640,Eukaryota,Eukaryota
uniq9811,Eukaryota,Eukaryota
uniq9854,Eukaryota,Mollusca
uniq10917,Eukaryota,Mollusca
uniq11115,Eukaryota,Chaetognatha
uniq10734,Eukaryota,Eukaryota
uniq11254,Eukaryota,Eukaryota
uniq11453,Eukaryota,Eukaryota
uniq11993,Eukaryota,Eukaryota
uniq12027,Eukaryota,Mollusca
uniq12120,Eukaryota,Eukaryota
uniq13042,Eukaryota,Eukaryota
uniq12831,Eukaryota,Eukaryota
uniq13193,Eukaryota,Eukaryota
uniq12208,Eukaryota,Eukaryota
uniq13273,Eukaryota,Eukaryota
uniq13221,Eukaryota,Eukaryota
uniq13901,Eukaryota,Eukaryota
uniq14185,Eukaryota,Eukaryota
uniq15068,Eukaryota,Mollusca
uniq15081,Eukaryota,Eukaryota
uniq14263,Eukaryota,Mollusca
uniq16445,Eukaryota,Mollusca
uniq17686,Eukaryota,Mollusca
uniq18520,Eukaryota,Mollusca
uniq8427,Eukaryota,Arthropoda
uniq8463,Eukaryota,Arthropoda
uniq8438,Eukaryota,Eukaryota
uniq8444,Eukaryota,Eukaryota
uniq8448,Eukaryota,Cnidaria
uniq8439,Eukaryota,Arthropoda
uniq8441,Eukaryota,Rhodophyta
uniq8464,Eukaryota,Eukaryota
uniq8475,Eukaryota,Eukaryota
uniq8510,Eukaryota,Eukaryota
uniq8499,Eukaryota,Eukaryota
uniq8514,Eukaryota,Mollusca
uniq8534,Eukaryota,Eukaryota
uniq8536,Eukaryota,Eukaryota
uniq8532,Eukaryota,Eukaryota
uniq8573,Eukaryota,Eukaryota
uniq8563,Eukaryota,Mollusca
uniq8580,Eukaryota,Eukaryota
uniq8588,Eukaryota,Eukaryota
uniq8579,Eukaryota,Arthropoda
uniq8591,Eukaryota,Arthropoda
uniq8576,Eukaryota,Eukaryota
uniq8599,Eukaryota,Eukaryota
uniq8616,Eukaryota,Arthropoda
uniq8628,Eukaryota,Arthropoda
uniq8619,Eukaryota,Arthropoda
uniq8643,Eukaryota,Chaetognatha
uniq8642,Eukaryota,Eukaryota
uniq8657,Eukaryota,Eukaryota
uniq8646,Eukaryota,Mollusca
uniq8656,Eukaryota,Eukaryota
uniq8659,Eukaryota,Eukaryota
uniq8661,Eukaryota,Eukaryota
uniq8667,Eukaryota,Rhodophyta
uniq8674,Eukaryota,Eukaryota
uniq8690,Eukaryota,Eukaryota
uniq8682,Eukaryota,Eukaryota
uniq8706,Eukaryota,Chaetognatha
uniq8681,Eukaryota,Eukaryota
uniq8712,Eukaryota,Eukaryota
uniq8703,Eukaryota,Eukaryota
uniq8714,Eukaryota,Chaetognatha
uniq8718,Eukaryota,Eukaryota
uniq8715,Eukaryota,Arthropoda
uniq8721,Eukaryota,Mollusca
uniq8720,Eukaryota,Mollusca
uniq8736,Eukaryota,Eukaryota
uniq8728,Eukaryota,Eukaryota
uniq10679,Eukaryota,Eukaryota
uniq10708,Eukaryota,Cnidaria
uniq12340,Eukaryota,Eukaryota
uniq11918,Eukaryota,Eukaryota
uniq13528,Eukaryota,Eukaryota
uniq13319,Eukaryota,Eukaryota
uniq14479,Eukaryota,Eukaryota
uniq14804,Eukaryota,Bacillariophyta
uniq15419,Eukaryota,Arthropoda
uniq16309,Eukaryota,Arthropoda
uniq14744,Eukaryota,Mollusca
uniq20651,Eukaryota,Eukaryota
uniq27854,Eukaryota,Cnidaria
uniq8750,Eukaryota,Chaetognatha
uniq8751,Eukaryota,Eukaryota
uniq8755,Eukaryota,Eukaryota
uniq8775,Eukaryota,Eukaryota
uniq8765,Eukaryota,Eukaryota
uniq8788,Eukaryota,Eukaryota
uniq8791,Eukaryota,Eukaryota
uniq8799,Eukaryota,Eukaryota
uniq8806,Eukaryota,Eukaryota
uniq8809,Eukaryota,Mollusca
uniq8824,Eukaryota,Eukaryota
uniq8828,Eukaryota,Eukaryota
uniq8831,Eukaryota,Eukaryota
uniq8847,Eukaryota,Eukaryota
uniq8885,Eukaryota,Arthropoda
uniq8894,Eukaryota,Eukaryota
uniq8906,Eukaryota,Eukaryota
uniq8919,Eukaryota,Eukaryota
uniq8907,Eukaryota,Eukaryota
uniq8936,Eukaryota,Eukaryota
uniq8916,Eukaryota,Eukaryota
uniq8927,Eukaryota,Arthropoda
uniq8912,Eukaryota,Eukaryota
uniq8941,Eukaryota,Eukaryota
uniq8952,Eukaryota,Eukaryota
uniq8964,Eukaryota,Arthropoda
uniq8955,Eukaryota,Eukaryota
uniq8949,Eukaryota,Eukaryota
uniq8977,Eukaryota,Eukaryota
uniq8980,Eukaryota,Eukaryota
uniq8988,Eukaryota,Arthropoda
uniq8989,Eukaryota,Eukaryota
uniq8992,Eukaryota,Eukaryota
uniq8984,Eukaryota,Mollusca
uniq9002,Eukaryota,Rhodophyta
uniq9020,Eukaryota,Mollusca
uniq9015,Eukaryota,Eukaryota
uniq9016,Eukaryota,Eukaryota
uniq9004,Eukaryota,Eukaryota
uniq9030,Eukaryota,Eukaryota
uniq9040,Eukaryota,Eukaryota
uniq9087,Eukaryota,Eukaryota
uniq9093,Eukaryota,Eukaryota
uniq9103,Eukaryota,Mollusca
uniq11619,Eukaryota,Eukaryota
uniq9105,Eukaryota,Eukaryota
uniq11658,Eukaryota,Eukaryota
uniq11759,Eukaryota,Eukaryota
uniq13071,Eukaryota,Annelida
uniq12944,Eukaryota,Eukaryota
uniq13431,Eukaryota,Arthropoda
uniq14157,Eukaryota,Eukaryota
uniq14993,Eukaryota,Mollusca
uniq14131,Eukaryota,Eukaryota
uniq14630,Eukaryota,Arthropoda
uniq15476,Eukaryota,Arthropoda
uniq15565,Eukaryota,Cnidaria
uniq16063,Eukaryota,Eukaryota
uniq16074,Eukaryota,Eukaryota
uniq16289,Eukaryota,Mollusca
uniq9108,Eukaryota,Chaetognatha
uniq16964,Eukaryota,Eukaryota
uniq9111,Eukaryota,Mollusca
uniq9113,Eukaryota,Mollusca
uniq9123,Eukaryota,Eukaryota
uniq9124,Eukaryota,Eukaryota
uniq9128,Eukaryota,Echinodermata
uniq9126,Eukaryota,Eukaryota
uniq9129,Eukaryota,Eukaryota
uniq9135,Eukaryota,Eukaryota
uniq9140,Eukaryota,Eukaryota
uniq9163,Eukaryota,Eukaryota
uniq9143,Eukaryota,Eukaryota
uniq9178,Eukaryota,Echinodermata
uniq9172,Eukaryota,Eukaryota
uniq9168,Eukaryota,Eukaryota
uniq9183,Eukaryota,Eukaryota
uniq9188,Eukaryota,Eukaryota
uniq9228,Eukaryota,Eukaryota
uniq9224,Eukaryota,Eukaryota
uniq9236,Eukaryota,Eukaryota
uniq9248,Eukaryota,Eukaryota
uniq9253,Eukaryota,Mollusca
uniq9251,Eukaryota,Mollusca
uniq9255,Eukaryota,Arthropoda
uniq9269,Eukaryota,Mollusca
uniq9283,Eukaryota,Mollusca
uniq9292,Eukaryota,Eukaryota
uniq9289,Eukaryota,Eukaryota
uniq9273,Eukaryota,Eukaryota
uniq9329,Eukaryota,Arthropoda
uniq9344,Eukaryota,Eukaryota
uniq9353,Eukaryota,Chordata
uniq9347,Eukaryota,Eukaryota
uniq9357,Eukaryota,Eukaryota
uniq9371,Eukaryota,Mollusca
uniq9363,Eukaryota,Eukaryota
uniq9384,Eukaryota,Echinodermata
uniq9404,Eukaryota,Eukaryota
uniq9394,Eukaryota,Eukaryota
uniq9406,Eukaryota,Mollusca
uniq9408,Eukaryota,Chaetognatha
uniq9409,Eukaryota,Eukaryota
uniq9377,Eukaryota,Arthropoda
uniq9420,Eukaryota,Eukaryota
uniq9427,Eukaryota,Eukaryota
uniq9430,Eukaryota,Echinodermata
uniq9417,Eukaryota,Eukaryota
uniq9425,Eukaryota,Eukaryota
uniq9418,Eukaryota,Eukaryota
uniq9439,Eukaryota,Eukaryota
uniq9434,Eukaryota,Eukaryota
uniq9444,Eukaryota,Eukaryota
uniq9448,Eukaryota,Eukaryota
uniq9452,Eukaryota,Eukaryota
uniq9451,Eukaryota,Rhodophyta
uniq9463,Eukaryota,Eukaryota
uniq9469,Eukaryota,Eukaryota
uniq9475,Eukaryota,Mollusca
uniq9477,Eukaryota,Rhodophyta
uniq11595,Eukaryota,Eukaryota
uniq9504,Eukaryota,Eukaryota
uniq11634,Eukaryota,Eukaryota
uniq12015,Eukaryota,Mollusca
uniq13716,Eukaryota,Arthropoda
uniq14625,Eukaryota,Eukaryota
uniq14323,Eukaryota,Eukaryota
uniq13879,Eukaryota,Eukaryota
uniq13338,Eukaryota,Arthropoda
uniq14785,Eukaryota,Eukaryota
uniq16020,Eukaryota,Arthropoda
uniq16131,Eukaryota,Arthropoda
uniq17167,Eukaryota,Eukaryota
uniq20764,Eukaryota,Mollusca
uniq23688,Eukaryota,Mollusca
uniq20850,Eukaryota,Eukaryota
uniq18537,Eukaryota,Eukaryota
uniq9512,Eukaryota,Eukaryota
uniq9516,Eukaryota,Eukaryota
uniq9548,Eukaryota,Chordata
uniq9514,Eukaryota,Arthropoda
uniq9557,Eukaryota,Annelida
uniq9567,Eukaryota,Eukaryota
uniq9527,Eukaryota,Eukaryota
uniq9539,Eukaryota,Eukaryota
uniq9568,Eukaryota,Eukaryota
uniq9600,Eukaryota,Eukaryota
uniq9588,Eukaryota,Eukaryota
uniq9581,Eukaryota,Arthropoda
uniq9612,Eukaryota,Eukaryota
uniq9621,Eukaryota,Platyhelminthes
uniq9624,Eukaryota,Eukaryota
uniq9632,Eukaryota,Eukaryota
uniq9659,Eukaryota,Eukaryota
uniq9637,Eukaryota,Cnidaria
uniq9647,Eukaryota,Eukaryota
uniq9674,Eukaryota,Eukaryota
uniq9675,Eukaryota,Mollusca
uniq9676,Eukaryota,Eukaryota
uniq9673,Eukaryota,Eukaryota
uniq9678,Eukaryota,Eukaryota
uniq9682,Eukaryota,Eukaryota
uniq9729,Eukaryota,Eukaryota
uniq9718,Eukaryota,Eukaryota
uniq9721,Eukaryota,Eukaryota
uniq9731,Eukaryota,Eukaryota
uniq9732,Eukaryota,Eukaryota
uniq9747,Eukaryota,Mollusca
uniq9741,Eukaryota,Eukaryota
uniq9740,Eukaryota,Eukaryota
uniq9775,Eukaryota,Rhodophyta
uniq9776,Eukaryota,Eukaryota
uniq9778,Eukaryota,Chaetognatha
uniq9765,Eukaryota,Mollusca
uniq9779,Eukaryota,Eukaryota
uniq9798,Eukaryota,Chaetognatha
uniq9801,Eukaryota,Eukaryota
uniq9828,Eukaryota,Mollusca
uniq9819,Eukaryota,Eukaryota
uniq9849,Eukaryota,Cnidaria
uniq9847,Eukaryota,Eukaryota
uniq9823,Eukaryota,Arthropoda
uniq9855,Eukaryota,Chaetognatha
uniq9852,Eukaryota,Mollusca
uniq9851,Eukaryota,Eukaryota
uniq9863,Eukaryota,Eukaryota
uniq9872,Eukaryota,Chaetognatha
uniq9916,Eukaryota,Arthropoda
uniq9926,Eukaryota,Mollusca
uniq9922,Eukaryota,Arthropoda
uniq9933,Eukaryota,Eukaryota
uniq9937,Eukaryota,Arthropoda
uniq10016,Eukaryota,Eukaryota
uniq10019,Eukaryota,Eukaryota
uniq9934,Eukaryota,Eukaryota
uniq10003,Eukaryota,Eukaryota
uniq10022,Eukaryota,Eukaryota
uniq10025,Eukaryota,Eukaryota
uniq10033,Eukaryota,Eukaryota
uniq10036,Eukaryota,Eukaryota
uniq10032,Eukaryota,Chaetognatha
uniq10028,Eukaryota,Eukaryota
uniq10030,Eukaryota,Arthropoda
uniq10037,Eukaryota,Eukaryota
uniq10053,Eukaryota,Eukaryota
uniq10054,Eukaryota,Eukaryota
uniq10079,Eukaryota,Eukaryota
uniq10081,Eukaryota,Arthropoda
uniq10082,Eukaryota,Arthropoda
uniq10102,Eukaryota,Eukaryota
uniq10116,Eukaryota,Eukaryota
uniq10137,Eukaryota,Chordata
uniq10168,Eukaryota,Eukaryota
uniq10163,Eukaryota,Eukaryota
uniq10169,Eukaryota,Eukaryota
uniq10196,Eukaryota,Ascomycota
uniq10222,Eukaryota,Eukaryota
uniq10203,Eukaryota,Mollusca
uniq10228,Eukaryota,Eukaryota
uniq10240,Eukaryota,Arthropoda
uniq10232,Eukaryota,Mollusca
uniq10227,Eukaryota,Arthropoda
uniq10257,Eukaryota,Bacillariophyta
uniq10260,Eukaryota,Eukaryota
uniq10258,Eukaryota,Eukaryota
uniq10274,Eukaryota,Eukaryota
uniq10275,Eukaryota,Eukaryota
uniq10278,Eukaryota,Arthropoda
uniq10288,Eukaryota,Mollusca
uniq10282,Eukaryota,Chaetognatha
uniq10277,Eukaryota,Eukaryota
uniq10281,Eukaryota,Eukaryota
uniq10304,Eukaryota,Eukaryota
uniq10317,Eukaryota,Eukaryota
uniq10300,Eukaryota,Arthropoda
uniq10293,Eukaryota,Eukaryota
uniq10303,Eukaryota,Eukaryota
uniq10327,Eukaryota,Cnidaria
uniq10330,Eukaryota,Eukaryota
uniq10333,Eukaryota,Arthropoda
uniq10360,Eukaryota,Eukaryota
uniq10379,Eukaryota,Eukaryota
uniq10364,Eukaryota,Eukaryota
uniq10385,Eukaryota,Eukaryota
uniq10363,Eukaryota,Eukaryota
uniq12495,Eukaryota,Arthropoda
uniq12239,Eukaryota,Eukaryota
uniq12717,Eukaryota,Mollusca
uniq12823,Eukaryota,Eukaryota
uniq14199,Eukaryota,Eukaryota
uniq14651,Eukaryota,Eukaryota
uniq13216,Eukaryota,Eukaryota
uniq12980,Eukaryota,Eukaryota
uniq15485,Eukaryota,Eukaryota
uniq15735,Eukaryota,Arthropoda
uniq16426,Eukaryota,Eukaryota
uniq18557,Eukaryota,Eukaryota
uniq17349,Eukaryota,Eukaryota
uniq17543,Eukaryota,Eukaryota
uniq17645,Eukaryota,Mollusca
uniq9945,Eukaryota,Cnidaria
uniq9951,Eukaryota,Eukaryota
uniq9949,Eukaryota,Eukaryota
uniq9952,Eukaryota,Arthropoda
uniq9980,Eukaryota,Eukaryota
uniq9967,Eukaryota,Arthropoda
uniq9969,Eukaryota,Mollusca
uniq9992,Eukaryota,Eukaryota
uniq9963,Eukaryota,Mollusca
uniq10391,Eukaryota,Eukaryota
uniq10447,Eukaryota,Eukaryota
uniq10450,Eukaryota,Eukaryota
uniq10442,Eukaryota,Eukaryota
uniq10452,Eukaryota,Eukaryota
uniq10430,Eukaryota,Eukaryota
uniq10470,Eukaryota,Eukaryota
uniq10479,Eukaryota,Chaetognatha
uniq10466,Eukaryota,Eukaryota
uniq10494,Eukaryota,Eukaryota
uniq10507,Eukaryota,Eukaryota
uniq10515,Eukaryota,Eukaryota
uniq10526,Eukaryota,Eukaryota
uniq10541,Eukaryota,Eukaryota
uniq10531,Eukaryota,Eukaryota
uniq10547,Eukaryota,Eukaryota
uniq10563,Eukaryota,Eukaryota
uniq10554,Eukaryota,Eukaryota
uniq10556,Eukaryota,Eukaryota
uniq10567,Eukaryota,Eukaryota
uniq10571,Eukaryota,Eukaryota
uniq10581,Eukaryota,Eukaryota
uniq10575,Eukaryota,Eukaryota
uniq10579,Eukaryota,Mollusca
uniq10603,Eukaryota,Eukaryota
uniq10615,Eukaryota,Chaetognatha
uniq10616,Eukaryota,Eukaryota
uniq10622,Eukaryota,Eukaryota
uniq10655,Eukaryota,Eukaryota
uniq10649,Eukaryota,Eukaryota
uniq10680,Eukaryota,Eukaryota
uniq10685,Eukaryota,Arthropoda
uniq10694,Eukaryota,Eukaryota
uniq10705,Eukaryota,Eukaryota
uniq10689,Eukaryota,Arthropoda
uniq10706,Eukaryota,Arthropoda
uniq10709,Eukaryota,Eukaryota
uniq10707,Eukaryota,Bacillariophyta
uniq10712,Eukaryota,Eukaryota
uniq10716,Eukaryota,Eukaryota
uniq10730,Eukaryota,Eukaryota
uniq10733,Eukaryota,Eukaryota
uniq10737,Eukaryota,Eukaryota
uniq10749,Eukaryota,Mollusca
uniq10750,Eukaryota,Eukaryota
uniq10762,Eukaryota,Eukaryota
uniq10767,Eukaryota,Eukaryota
uniq10775,Eukaryota,Mollusca
uniq10779,Eukaryota,Eukaryota
uniq10788,Eukaryota,Eukaryota
uniq10789,Eukaryota,Eukaryota
uniq10800,Eukaryota,Eukaryota
uniq10801,Eukaryota,Chaetognatha
uniq10802,Eukaryota,Eukaryota
uniq10797,Eukaryota,Arthropoda
uniq10813,Eukaryota,Mollusca
uniq10814,Eukaryota,Eukaryota
uniq10828,Eukaryota,Eukaryota
uniq10836,Eukaryota,Eukaryota
uniq10845,Eukaryota,Eukaryota
uniq10847,Eukaryota,Eukaryota
uniq10849,Eukaryota,Eukaryota
uniq10841,Eukaryota,Arthropoda
uniq10855,Eukaryota,Eukaryota
uniq10880,Eukaryota,Eukaryota
uniq10875,Eukaryota,Eukaryota
uniq10886,Eukaryota,Mollusca
uniq10893,Eukaryota,Eukaryota
uniq10884,Eukaryota,Mollusca
uniq10900,Eukaryota,Chaetognatha
uniq10903,Eukaryota,Eukaryota
uniq13308,Eukaryota,Mollusca
uniq13303,Eukaryota,Porifera
uniq14535,Eukaryota,Arthropoda
uniq12882,Eukaryota,Arthropoda
uniq14599,Eukaryota,Echinodermata
uniq14904,Eukaryota,Eukaryota
uniq15131,Eukaryota,Cnidaria
uniq15275,Eukaryota,Echinodermata
uniq17333,Eukaryota,Eukaryota
uniq16898,Eukaryota,Rhodophyta
uniq15526,Eukaryota,Arthropoda
uniq17410,Eukaryota,Eukaryota
uniq17243,Eukaryota,Arthropoda
uniq19518,Eukaryota,Eukaryota
uniq21127,Eukaryota,Eukaryota
uniq24893,Eukaryota,Eukaryota
uniq10922,Eukaryota,Cnidaria
uniq10926,Eukaryota,Echinodermata
uniq10924,Eukaryota,Eukaryota
uniq10923,Eukaryota,Eukaryota
uniq10929,Eukaryota,Eukaryota
uniq10939,Eukaryota,Mollusca
uniq10938,Eukaryota,Eukaryota
uniq10964,Eukaryota,Arthropoda
uniq10980,Eukaryota,Eukaryota
uniq10984,Eukaryota,Eukaryota
uniq10988,Eukaryota,Cnidaria
uniq11021,Eukaryota,Mollusca
uniq10993,Eukaryota,Arthropoda
uniq11011,Eukaryota,Eukaryota
uniq11027,Eukaryota,Cnidaria
uniq11028,Eukaryota,Eukaryota
uniq11060,Eukaryota,Eukaryota
uniq11077,Eukaryota,Eukaryota
uniq11074,Eukaryota,Eukaryota
uniq11092,Eukaryota,Eukaryota
uniq11089,Eukaryota,Eukaryota
uniq11101,Eukaryota,Eukaryota
uniq11118,Eukaryota,Eukaryota
uniq11106,Eukaryota,Arthropoda
uniq11119,Eukaryota,Eukaryota
uniq11116,Eukaryota,Eukaryota
uniq11124,Eukaryota,Eukaryota
uniq11137,Eukaryota,Eukaryota
uniq11138,Eukaryota,Eukaryota
uniq11130,Eukaryota,Eukaryota
uniq11144,Eukaryota,Eukaryota
uniq11160,Eukaryota,Echinodermata
uniq11152,Eukaryota,Arthropoda
uniq11177,Eukaryota,Echinodermata
uniq11161,Eukaryota,Arthropoda
uniq11209,Eukaryota,Eukaryota
uniq11197,Eukaryota,Eukaryota
uniq11188,Eukaryota,Bacillariophyta
uniq11208,Eukaryota,Eukaryota
uniq11216,Eukaryota,Eukaryota
uniq11249,Eukaryota,Eukaryota
uniq11270,Eukaryota,Eukaryota
uniq11308,Eukaryota,Eukaryota
uniq11301,Eukaryota,Eukaryota
uniq11320,Eukaryota,Eukaryota
uniq11338,Eukaryota,Eukaryota
uniq11332,Eukaryota,Arthropoda
uniq11358,Eukaryota,Chordata
uniq11356,Eukaryota,Eukaryota
uniq11343,Eukaryota,Arthropoda
uniq11364,Eukaryota,Eukaryota
uniq11383,Eukaryota,Chaetognatha
uniq11376,Eukaryota,Eukaryota
uniq11384,Eukaryota,Eukaryota
uniq11386,Eukaryota,Eukaryota
uniq11390,Eukaryota,Eukaryota
uniq11385,Eukaryota,Eukaryota
uniq11399,Eukaryota,Eukaryota
uniq11431,Eukaryota,Chordata
uniq11434,Eukaryota,Mollusca
uniq11437,Eukaryota,Chlorophyta
uniq11451,Eukaryota,Eukaryota
uniq11469,Eukaryota,Eukaryota
uniq11454,Eukaryota,Eukaryota
uniq11472,Eukaryota,Eukaryota
uniq11473,Eukaryota,Eukaryota
uniq11481,Eukaryota,Eukaryota
uniq13715,Eukaryota,Cnidaria
uniq13915,Eukaryota,Eukaryota
uniq14330,Eukaryota,Eukaryota
uniq16542,Eukaryota,Eukaryota
uniq15489,Eukaryota,Eukaryota
uniq15890,Eukaryota,Chaetognatha
uniq17342,Eukaryota,Eukaryota
uniq17716,Eukaryota,Eukaryota
uniq18144,Eukaryota,Eukaryota
uniq18715,Eukaryota,Eukaryota
uniq27684,Eukaryota,Eukaryota
uniq19257,Eukaryota,Arthropoda
uniq21041,Eukaryota,Eukaryota
uniq27682,Eukaryota,Eukaryota
uniq11503,Eukaryota,Eukaryota
uniq11500,Eukaryota,Mollusca
uniq11506,Eukaryota,Eukaryota
uniq11516,Eukaryota,Arthropoda
uniq11507,Eukaryota,Eukaryota
uniq11521,Eukaryota,Eukaryota
uniq11529,Eukaryota,Eukaryota
uniq11535,Eukaryota,Eukaryota
uniq11536,Eukaryota,Mollusca
uniq11533,Eukaryota,Eukaryota
uniq11537,Eukaryota,Eukaryota
uniq11539,Eukaryota,Eukaryota
uniq11548,Eukaryota,Mollusca
uniq11558,Eukaryota,Eukaryota
uniq11561,Eukaryota,Eukaryota
uniq11599,Eukaryota,Eukaryota
uniq11577,Eukaryota,Eukaryota
uniq11614,Eukaryota,Eukaryota
uniq11626,Eukaryota,Chaetognatha
uniq11629,Eukaryota,Bacillariophyta
uniq11649,Eukaryota,Cnidaria
uniq11645,Eukaryota,Mollusca
uniq11652,Eukaryota,Mollusca
uniq11662,Eukaryota,Eukaryota
uniq11653,Eukaryota,Eukaryota
uniq11706,Eukaryota,Eukaryota
uniq11712,Eukaryota,Eukaryota
uniq11722,Eukaryota,Rhodophyta
uniq11734,Eukaryota,Eukaryota
uniq11741,Eukaryota,Eukaryota
uniq11754,Eukaryota,Cnidaria
uniq11757,Eukaryota,Eukaryota
uniq11769,Eukaryota,Eukaryota
uniq11778,Eukaryota,Arthropoda
uniq11815,Eukaryota,Echinodermata
uniq11799,Eukaryota,Mollusca
uniq11825,Eukaryota,Annelida
uniq11838,Eukaryota,Eukaryota
uniq11835,Eukaryota,Eukaryota
uniq11861,Eukaryota,Mollusca
uniq11872,Eukaryota,Eukaryota
uniq11876,Eukaryota,Eukaryota
uniq11878,Eukaryota,Eukaryota
uniq11873,Eukaryota,Eukaryota
uniq11881,Eukaryota,Eukaryota
uniq11887,Eukaryota,Eukaryota
uniq11925,Eukaryota,Eukaryota
uniq11938,Eukaryota,Eukaryota
uniq11917,Eukaryota,Eukaryota
uniq11947,Eukaryota,Eukaryota
uniq11952,Eukaryota,Eukaryota
uniq11966,Eukaryota,Eukaryota
uniq11979,Eukaryota,Eukaryota
uniq11991,Eukaryota,Eukaryota
uniq11999,Eukaryota,Eukaryota
uniq12010,Eukaryota,Eukaryota
uniq12011,Eukaryota,Rhodophyta
uniq12020,Eukaryota,Cnidaria
uniq12024,Eukaryota,Eukaryota
uniq12029,Eukaryota,Eukaryota
uniq12032,Eukaryota,Eukaryota
uniq12026,Eukaryota,Eukaryota
uniq12037,Eukaryota,Mollusca
uniq12043,Eukaryota,Eukaryota
uniq12046,Eukaryota,Mollusca
uniq12072,Eukaryota,Eukaryota
uniq12051,Eukaryota,Bacillariophyta
uniq12066,Eukaryota,Eukaryota
uniq12077,Eukaryota,Eukaryota
uniq12074,Eukaryota,Mollusca
uniq14874,Eukaryota,Eukaryota
uniq14776,Eukaryota,Eukaryota
uniq15029,Eukaryota,Eukaryota
uniq14910,Eukaryota,Eukaryota
uniq15097,Eukaryota,Mollusca
uniq15787,Eukaryota,Mollusca
uniq16187,Eukaryota,Eukaryota
uniq16247,Eukaryota,Mollusca
uniq16855,Eukaryota,Eukaryota
uniq16287,Eukaryota,Eukaryota
uniq17135,Eukaryota,Eukaryota
uniq17131,Eukaryota,Arthropoda
uniq18560,Eukaryota,Eukaryota
uniq18704,Eukaryota,Eukaryota
